#{"t_start": 1561044984.770769, "env_id": "threes-v0"}
r,l,t
315.0,64,11.864507
183.0,39,11.891517
210.0,51,11.935618
81.0,22,11.953711
150.0,37,11.984041
207.0,49,12.024442
438.0,70,12.083974
24.0,11,12.097269
180.0,37,12.134442
135.0,29,12.161643
138.0,32,12.190833
189.0,48,12.236748
180.0,43,12.275947
99.0,27,12.30135
567.0,74,12.362655
219.0,43,12.408728
141.0,32,12.436229
162.0,34,12.464045
279.0,64,12.511214
99.0,34,12.535804
168.0,40,12.563562
66.0,22,12.57873
165.0,51,12.613758
819.0,78,12.67097
408.0,58,12.71305
138.0,31,12.73446
564.0,94,12.807388
111.0,28,12.82777
51.0,21,12.842484
444.0,60,12.886163
570.0,65,12.931766
402.0,58,12.975127
135.0,31,12.997874
138.0,31,13.020387
1065.0,109,13.09648
117.0,29,13.116709
186.0,38,13.151003
330.0,47,13.186689
1032.0,84,13.248017
120.0,33,13.271316
408.0,71,13.322625
189.0,36,13.349657
444.0,75,13.419113
348.0,50,13.468137
123.0,34,13.502775
885.0,95,13.581953
405.0,73,13.636268
942.0,108,13.710352
480.0,83,13.768002
108.0,28,13.789297
171.0,38,13.81748
384.0,58,13.857954
252.0,50,13.892789
222.0,46,13.931998
141.0,31,13.956389
486.0,69,14.00682
276.0,40,14.036255
69.0,22,14.053592
474.0,66,14.100249
717.0,92,14.167582
153.0,33,14.193167
60.0,20,14.207917
354.0,52,14.244262
105.0,23,14.262138
420.0,76,14.322311
81.0,23,14.34023
378.0,51,14.377115
852.0,88,14.437596
165.0,35,14.462589
117.0,35,14.487654
513.0,80,14.547796
72.0,21,14.562701
309.0,47,14.594954
234.0,53,14.635212
138.0,37,14.662735
954.0,94,14.734429
648.0,91,14.80172
165.0,37,14.829943
375.0,56,14.871063
1110.0,132,14.963157
375.0,52,15.006281
225.0,47,15.041541
201.0,43,15.075225
240.0,45,15.109747
201.0,45,15.143699
90.0,25,15.162988
138.0,39,15.191305
156.0,41,15.223347
408.0,64,15.271611
381.0,56,15.316172
141.0,31,15.339406
249.0,52,15.378587
147.0,36,15.410099
192.0,42,15.442834
942.0,93,15.515329
27.0,12,15.526296
138.0,34,15.553401
42.0,16,15.56586
255.0,57,15.609394
150.0,35,15.636611
315.0,48,15.67249
579.0,65,15.722643
165.0,39,15.753443
114.0,44,15.79076
132.0,33,15.81704
168.0,41,15.848283
15.0,11,15.856748
195.0,51,15.896247
351.0,52,15.93597
543.0,74,15.993761
417.0,62,16.043464
342.0,57,16.090013
516.0,92,16.159553
153.0,32,16.189274
216.0,41,16.222208
810.0,91,16.288231
285.0,39,16.317873
159.0,49,16.35196
258.0,51,16.392159
414.0,69,16.441947
156.0,38,16.471011
78.0,26,16.490741
399.0,65,16.54143
192.0,44,16.58098
171.0,51,16.619594
282.0,52,16.659007
324.0,55,16.700767
366.0,61,16.745376
240.0,46,16.781133
87.0,26,16.801806
210.0,40,16.833933
804.0,82,16.896063
357.0,48,16.930753
432.0,66,16.986489
132.0,32,17.011771
366.0,57,17.054451
135.0,36,17.081256
489.0,79,17.140964
81.0,26,17.161268
201.0,45,17.196761
99.0,27,17.220201
399.0,68,17.273174
324.0,55,17.314893
165.0,41,17.353048
417.0,66,17.407567
438.0,66,17.458574
429.0,73,17.515452
393.0,54,17.556823
372.0,69,17.607689
153.0,41,17.638938
300.0,47,17.675064
372.0,55,17.71718
561.0,84,17.785091
198.0,36,17.812746
162.0,33,17.837511
603.0,76,17.896875
372.0,47,17.933515
159.0,42,17.965117
75.0,25,17.98517
222.0,47,18.022557
39.0,15,18.034571
126.0,29,18.056662
297.0,45,18.090642
417.0,63,18.142263
354.0,58,18.18723
354.0,62,18.232477
90.0,26,18.252152
342.0,50,18.290665
555.0,86,18.355509
360.0,98,18.424179
78.0,22,18.442437
414.0,64,18.490647
171.0,40,18.52723
423.0,69,18.57902
159.0,37,18.607927
351.0,82,18.669617
468.0,74,18.731756
1044.0,106,18.815177
228.0,52,18.854138
135.0,29,18.875959
249.0,54,18.923059
51.0,18,18.937559
105.0,30,18.961179
363.0,60,19.006468
168.0,58,19.046748
324.0,59,19.091019
489.0,71,19.145533
909.0,124,19.236135
369.0,57,19.282616
252.0,52,19.323358
453.0,68,19.373915
411.0,59,19.419816
159.0,41,19.45047
429.0,58,19.497711
39.0,15,19.510697
123.0,33,19.53872
66.0,21,19.555895
198.0,60,19.598911
369.0,68,19.645871
408.0,61,19.698704
96.0,30,19.721279
240.0,52,19.760401
327.0,45,19.795216
189.0,61,19.839008
48.0,20,19.854275
78.0,36,19.880376
240.0,59,19.923717
420.0,66,19.971796
177.0,43,20.00302
219.0,41,20.039224
1047.0,105,20.117842
60.0,18,20.132122
285.0,50,20.171164
348.0,50,20.208959
477.0,77,20.266553
180.0,43,20.300274
414.0,64,20.350201
876.0,84,20.41174
1437.0,145,20.529285
126.0,40,20.559696
171.0,51,20.598499
252.0,63,20.643219
162.0,35,20.669292
90.0,27,20.690009
405.0,65,20.737085
909.0,119,20.82738
972.0,124,20.917954
243.0,54,20.959211
858.0,87,21.025021
315.0,65,21.075374
390.0,64,21.124716
1095.0,98,21.205159
225.0,47,21.240166
498.0,103,21.315788
294.0,63,21.36239
489.0,85,21.426324
123.0,31,21.452279
66.0,25,21.471406
468.0,79,21.530886
387.0,53,21.576091
294.0,45,21.610359
603.0,120,21.692954
84.0,23,21.710325
723.0,113,21.793753
45.0,18,21.80836
231.0,66,21.857351
90.0,25,21.876003
699.0,91,21.948047
825.0,81,22.009854
318.0,47,22.047756
405.0,55,22.089959
195.0,42,22.121528
75.0,34,22.146923
288.0,135,22.235952
240.0,62,22.281557
75.0,22,22.305496
126.0,29,22.330794
492.0,91,22.398906
102.0,28,22.419475
444.0,156,22.527343
219.0,172,22.639081
78.0,25,22.661696
315.0,64,22.711371
297.0,45,22.746217
27.0,14,22.757349
198.0,46,22.791334
168.0,38,22.820514
336.0,46,22.85533
159.0,33,22.881232
264.0,50,22.920724
69.0,21,22.937254
90.0,27,22.958723
147.0,37,22.985425
129.0,27,23.006828
126.0,74,23.061087
585.0,80,23.120851
189.0,93,23.183422
1212.0,154,23.30532
648.0,140,23.436619
84.0,24,23.465444
87.0,23,23.483303
555.0,91,23.550761
408.0,72,23.602057
237.0,56,23.641487
399.0,64,23.68947
1212.0,130,23.784043
237.0,54,23.82872
171.0,42,23.861056
99.0,30,23.882935
90.0,42,23.911822
135.0,31,23.935767
186.0,86,23.992504
246.0,67,24.038252
60.0,20,24.053262
465.0,83,24.117156
450.0,66,24.167368
360.0,55,24.2145
411.0,163,24.322433
492.0,86,24.38517
1176.0,118,24.473967
126.0,40,24.504106
3309.0,184,24.648109
213.0,41,24.681455
231.0,45,24.716007
396.0,76,24.773421
288.0,74,24.827127
495.0,93,24.910422
642.0,96,25.00233
144.0,42,25.034266
252.0,50,25.072246
477.0,77,25.129695
546.0,128,25.221184
909.0,83,25.281625
1083.0,96,25.373233
345.0,68,25.441242
465.0,78,25.506703
288.0,60,25.554529
69.0,22,25.572274
81.0,24,25.593041
75.0,23,25.610434
1101.0,120,25.702752
57.0,19,25.718149
135.0,36,25.746201
153.0,35,25.778922
189.0,44,25.812529
288.0,68,25.865799
183.0,41,25.896779
333.0,55,25.938218
234.0,57,25.981476
159.0,35,26.010466
138.0,33,26.038722
66.0,20,26.055175
405.0,58,26.100848
468.0,67,26.152501
57.0,18,26.171946
513.0,80,26.233411
192.0,51,26.271031
108.0,28,26.292103
237.0,50,26.331013
168.0,44,26.364287
417.0,73,26.419652
138.0,36,26.447028
30.0,16,26.459137
168.0,36,26.487148
171.0,43,26.520645
72.0,23,26.538712
189.0,51,26.58031
39.0,19,26.594731
183.0,40,26.625797
303.0,49,26.660627
267.0,60,26.70502
381.0,60,26.752727
303.0,58,26.798959
231.0,44,26.833242
600.0,78,26.890707
309.0,63,26.944911
864.0,92,27.018883
474.0,73,27.084518
426.0,65,27.143326
93.0,28,27.168888
390.0,51,27.21088
171.0,46,27.247092
45.0,18,27.26144
162.0,35,27.288911
240.0,54,27.331871
330.0,61,27.385349
492.0,81,27.446836
300.0,42,27.47895
963.0,101,27.55285
108.0,33,27.577168
411.0,76,27.631579
240.0,51,27.669728
348.0,84,27.727448
153.0,44,27.765206
255.0,57,27.805946
90.0,29,27.826791
177.0,49,27.861138
129.0,34,27.88775
177.0,39,27.917677
387.0,59,27.959926
903.0,90,28.030937
141.0,33,28.0572
348.0,57,28.099233
477.0,76,28.162958
129.0,32,28.187944
453.0,64,28.237382
651.0,88,28.303699
123.0,30,28.327006
348.0,55,28.371921
390.0,74,28.429146
474.0,70,28.484207
120.0,32,28.516823
588.0,84,28.580413
264.0,56,28.623546
138.0,30,28.646897
186.0,41,28.678253
153.0,40,28.707813
246.0,44,28.742755
195.0,47,28.778968
501.0,89,28.846644
384.0,68,28.902183
168.0,35,28.929817
258.0,50,28.968622
387.0,72,29.021643
